Peça;Position A5;Position B14;Position G4;Position C6;Position H14;Position L6;Position K9;Position E9
1;1,12;1,17;1,07;1,09;1,08;1,09;1,13;1,10
2;1,11;1,08;1,09;1,02;1,07;1,11;1,08;1,06
3;1,13;1,16;1,06;1,09;1,07;1,10;1,15;1,20
4;1,16;1,09;1,09;1,13;1,06;1,14;1,10;1,06
5;1,13;1,10;1,12;1,16;1,09;1,13;1,09;1,07
6;1,09;1,10;1,12;1,12;1,07;1,12;1,09;1,06
7;1,12;1,09;1,10;1,08;1,00;1,14;1,07;1,07
8;1,10;1,09;1,11;1,13;1,07;1,12;1,12;1,08
9;1,16;1,11;1,10;1,06;1,07;1,12;1,12;1,06
10;1,01;1,18;1,06;1,11;1,08;1,08;1,11;1,12
11;1,13;1,17;1,09;1,09;1,08;1,09;1,13;1,14
12;1,14;1,09;1,12;1,18;1,07;1,12;1,08;1,07
13;1,11;1,10;1,10;1,15;1,07;1,13;1,08;1,05
14;1,14;1,10;1,05;1,10;1,09;1,10;1,15;1,10
15;1,09;1,07;1,08;1,15;1,08;1,12;1,13;1,09
16;1,12;1,10;1,11;1,14;1,09;1,12;1,09;1,10
17;1,11;1,09;1,10;1,13;1,07;1,13;1,09;1,07
18;1,15;1,15;1,07;1,13;1,10;1,09;1,12;1,13
19;1,20;1,19;1,05;1,09;1,12;1,08;1,13;1,10
20;1,15;1,09;1,10;1,04;1,10;1,13;1,09;1,08
21;1,18;1,09;1,12;1,19;1,08;1,12;1,08;1,05
22;1,11;1,10;1,11;1,19;1,11;1,13;1,08;1,08
23;1,11;1,08;1,10;1,09;1,09;1,13;1,13;1,06
24;1,10;1,19;1,09;1,19;1,11;1,10;1,12;1,12
25;1,15;1,19;1,06;1,14;1,08;1,09;1,14;1,19
26;1,14;1,14;1,09;1,13;1,08;1,12;1,12;1,11
27;1,11;1,06;1,22;1,15;1,08;1,09;1,14;1,14
28;1,12;1,10;1,12;1,15;1,07;1,12;1,08;1,07
29;1,11;1,09;1,09;1,12;1,09;1,12;1,08;1,08
30;1,14;1,13;1,06;1,07;1,08;1,12;1,12;1,11
31;1,19;1,10;1,09;1,10;1,10;1,08;1,14;1,21
32;1,16;1,17;1,05;1,10;1,08;1,08;1,13;1,10
33;1,10;1,13;1,06;1,13;1,09;1,12;1,13;1,17
34;1,17;1,16;1,08;1,10;1,11;1,09;1,13;1,16
35;1,17;1,09;1,09;1,08;1,10;1,10;1,15;1,15
36;1,17;1,16;1,08;1,24;1,10;1,10;1,13;1,12
37;1,10;1,09;1,09;1,11;1,10;1,14;1,10;1,08
38;1,11;1,08;1,09;1,17;1,13;1,11;1,12;1,05
39;1,10;1,10;1,10;1,08;1,07;1,13;1,08;1,09
40;1,12;1,10;1,10;1,15;1,05;1,13;1,05;1,06
